	sub	ses	task	run	desc	regressors	space	meanFD	relMeansRMSMotion	relMaxRMSMotion	meanDVInit	meanDVFinal	nVolCensored	nVolsRemoved	motionDVCorrInit	motionDVCorrFinal	coregDice	coregJaccard	coregCrossCorr	coregCoverage	normDice	normJaccard	normCrossCorr	normCoverage	medianFD	motionExclude	normCrossCorrExclude	fmriExclude
380	10650	2	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.1483256219101124	0.3342486417527983	2.6965234420425497	99.1357572316384	99.1357572316384	0	2	0.897864040691864	0.897864040691864	0.9275784029734796	0.8649381973893061	0.9183706613766092	0.9718683841665038	0.9404970247524906	0.8876775683737764	0.9219493623101188	0.970641195270352	0.0574589	0	0	0
381	11160	1	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.1485944628089887	0.267798797465854	1.995220817545016	302.58464003954805	302.58464003954805	0	2	0.5679693573002497	0.5679693573002497	0.939326621382358	0.8855946046336781	0.9318328648560136	0.9771251770199032	0.948484374348354	0.9020164334320362	0.9319946259726164	0.9707105371711432	0.0495911	0	0	0
382	11227	2	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0817696485955056	0.6770727750223144	1.8089874511057644	88.41273797740112	88.41273797740112	0	2	0.153961569248931	0.153961569248931	0.930792729937982	0.8705447072801819	0.9216998717073857	0.9606280466492978	0.9413476324504836	0.8891942825664666	0.922316433609892	0.9602850558589248	0.0539288	0	0	0
383	20783	2	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0498450335955056	0.2658144629769063	0.7149891166395472	31.899940870056493	31.899940870056493	0	2	0.7744845706523258	0.7744845706523258	0.9246851940836892	0.8599204521281887	0.916721318223396	0.9881430014692656	0.9360209895112576	0.8797363296492972	0.9173905028723288	0.9815736310090032	0.0378806	0	0	0
384	11038	1	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0915264798314606	0.4035188141323198	2.427375067960038	95.43221775706216	95.43221775706216	0	2	0.7584747934687194	0.7584747934687194	0.9220149697451214	0.855313333550764	0.9079859972986216	0.9566797875011356	0.930620557461216	0.8702435454078449	0.9085731890771956	0.9568596707876028	0.0394224	0	0	0
385	11038	2	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0799059499999999	0.7085397896535801	2.301908701499258	97.8389279717514	97.8389279717514	0	2	0.7288463236762506	0.7288463236762506	0.9237530234426438	0.8583095177628258	0.9111842241816924	0.946534381086556	0.9318371450295012	0.8723736653950931	0.909526120535856	0.9483662390062564	0.040456	0	0	0
386	20231	1	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.1117040983146067	0.3738515391173336	0.6265298701977424	36.29618629378531	36.29618629378531	0	2	0.5817151276269366	0.5817151276269366	0.9068260083761698	0.8295349279478795	0.8939738323543499	0.9494527099245574	0.920127530315457	0.8520705510570601	0.895645587040118	0.9573852073414296	0.0827136	0	0	0
387	20231	2	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0738011284269662	0.6053783190995179	1.0076144280874506	19.90583369491525	19.90583369491525	0	2	0.6830446813145904	0.6830446813145904	0.9058594313905862	0.8279186947083761	0.8906987773662541	0.915439704450004	0.9141770049773458	0.8419208371602709	0.8854878818168033	0.9219793651924548	0.0452842	0	0	0
388	20174	3	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0261434411797752	0.1025211757769423	0.2164833037765268	20.779307146892656	20.779307146892656	0	2	0.2928326762008957	0.2928326762008957	0.9209522868559268	0.8534861578757291	0.9106089471171064	0.9638206190833216	0.9330152760595132	0.8744410816059196	0.9120283667526816	0.9629127086545942	0.025676	0	0	0
389	20322	1	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0664411375842696	0.2164079831138965	0.3964299555995863	28.97466651977401	28.97466651977401	0	2	0.3039411478063801	0.3039411478063801	0.9090326443962758	0.8332354215064771	0.9004546940964459	0.9804045840004744	0.92328969274465	0.857509848770942	0.9015833677081884	0.9774082978296704	0.0609607	0	0	0
390	20322	2	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.040627885	0.1729079901300423	0.3828849241250431	29.1386315480226	29.1386315480226	0	2	0.0063584392195365	0.0063584392195365	0.907295324757432	0.8303207127360583	0.8973804369949012	0.972126334399199	0.9233234140500076	0.8575680256251922	0.9008134532468968	0.9700704904437716	0.0392999	0	0	0
391	10772	1	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0298181887640449	0.0833409879811388	0.1750069994350226	78.64285797175141	78.64285797175141	0	2	0.0346973347296583	0.0346973347296583	0.9250460945495512	0.8605448939337729	0.912320176503862	0.953034769554848	0.9316305757303092	0.8720116418224413	0.9095038855277652	0.9521222135377386	0.0286566	0	0	0
392	10772	2	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0560946911797752	0.2741729099323953	0.4380345819110632	80.98757866101695	80.98757866101695	0	2	0.7890450444299547	0.7890450444299547	0.902482189009868	0.8222938889672219	0.8885903348712154	0.9235969709310218	0.906963775449578	0.829765523848601	0.8749171668381507	0.9252349030752888	0.0309928	0	0	0
393	20266	1	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.063048317977528	0.0738376046198557	0.1987857741674187	37.66554466666667	37.66554466666667	0	2	0.3418707266825356	0.3418707266825356	0.9158380798853664	0.8447428957738438	0.9049643971411252	0.9769205490339936	0.9310156069782192	0.8709347049926947	0.9105996506464946	0.9745028507690614	0.0557346	0	0	0
394	20171	1	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0992982129213483	0.4102902781535249	0.7428480899206513	31.56047282485876	31.56047282485876	0	2	0.23140740394229	0.23140740394229	0.88618051755621	0.7956231072667845	0.8715379216911567	0.9402656346577556	0.9019901260766482	0.8214772448754982	0.8721893155509758	0.9435439140081096	0.0772834	0	0	0
395	10979	1	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0625105156179775	0.3471087701547845	0.5308259217841571	72.27401898305085	72.27401898305085	0	2	0.4820014181817099	0.4820014181817099	0.9297964401772286	0.8688033520755672	0.9195719880676124	0.9653832386519164	0.9419266282815508	0.8902280819634836	0.9232778569061572	0.963983303313213	0.0518774	0	0	0
